filename,pageId,title,comparisonStatus,auditStatus,auditCoverage,callouts_expected,callouts_actual
"validate-legacy-oracle-process-pack-requirements-for-associa-failure-2025-12-10T08-35-44.html","2c5a89fe-dba5-814a-a6d4-f47c6ff07732","Validate legacy Oracle Process Pack requirements for associating software installations with Oracle mappings","FAIL","PASS","106.3","4","1"
"verify-contract-administrator-assignment-for-notification-failure-2025-12-10T08-49-02.html","2c5a89fe-dba5-816a-b737-f3494fe0c0ed","Verify contract administrator assignment for notification","PASS","FAIL","110.4","1","1"
"view-a-list-of-unallocated-software-licenses-for-the-legacy--failure-2025-12-10T08-27-51.html","2c5a89fe-dba5-810d-a06c-d787cf54a5a6","View a list of unallocated software licenses for the legacy Software Asset Management plugin","FAIL","FAIL","115.3","2","1"
"view-approval-history-on-contracts-failure-2025-12-10T08-49-13.html","2c5a89fe-dba5-8185-9402-d647b5cdb7fd","View approval history on contracts","FAIL","FAIL","108.2","","1"
"view-contract-expense-lines-failure-2025-12-10T08-51-27.html","2c5a89fe-dba5-81e2-9aba-e99462cb9880","View contract expense lines","PASS","FAIL","130.4","1","1"
"view-discovery-models-in-workspace-failure-2025-12-10T08-40-37.html","2c5a89fe-dba5-81f9-a4ff-c4a3db86b9b5","View discovery models in workspace","PASS","FAIL","118","1","1"
"view-ibm-pvu-mappings-for-the-legacy-ibm-pvu-process-pack-failure-2025-12-10T08-33-29.html","2c5a89fe-dba5-8174-a6f2-cf3f0b371188","View IBM PVU mappings for the legacy IBM PVU Process Pack","FAIL","PASS","82","1","1"
"view-software-counter-details-for-the-legacy-software-asset--failure-2025-12-10T08-32-11.html","2c5a89fe-dba5-8109-b290-d1c3ed2d025a","View software counter details for the legacy Software Asset Management plugin","FAIL","PASS","100.6","1","1"
"view-software-counter-results-for-the-legacy-software-asset--failure-2025-12-10T08-31-35.html","2c5a89fe-dba5-8111-898f-c153e95fb66f","View software counter results for the legacy Software Asset Management plugin","FAIL","PASS","102.8","2","1"
"view-usage-counter-results-for-the-legacy-software-asset-man-failure-2025-12-10T08-32-01.html","2c5a89fe-dba5-8117-a0dd-e7feae69b4f4","View usage counter results for the legacy Software Asset Management plugin","FAIL","PASS","101","1","1"
